 OBJETIVO; RESULTADO; ERROR
39889;39876,77672;-12,22328
41224;41151,98663;-72,01337
43953;44185,19976;232,19976
47557;47364,13756;-192,86244
49489;49645,99329;156,99329
53197;53117,11668;-79,88332
55263;55245,16633;-17,83367
57708;57743,33972;35,33972
59567;59426,30991;-140,69009
62850;62875,67738;25,67738
65575;65691,99936;116,99936
66447;66327,2534;-119,7466
65132;65142,36165;10,36165
68608;68731,99729;123,99729
71749;71624,76288;-124,23712
72205;72208,31033;3,31033
76393;76437,57387;44,57387
81176;81163,36562;-12,63438
83390;83424,07124;34,07124
89038;89021,55567;-16,44433
93286;93287,3535;1,3535
94465;94468,04351;3,04351
99597;99478,07116;-118,92884
103302;103432,4834;130,48337
105988;105958,5245;-29,47546
104143;105583,397;1440,39697
106839;106643,1521;-195,84792
103274;103779,546;505,54601
95815;98061,21008;2246,21008
97576;96309,98842;-1266,01158
93238;94407,8204;1169,8204
