Eval;Branches;Iterations;Parts;min MAE;real Time;sum Time;avg Mae;avg Time
Random;4;1000;499;0,002887931;202;795;0,00383077;198
LSFI;4;1000;499;0,012526093;6806;26335;7,696234965;6583
LSBI;4;1000;499;0,001720357;37017;147580;0,003486208;36895
Random;8;1000;499;0,002887931;116;816;0,005880366;102
LSFI;8;1000;499;0,004729439;7853;59658;4,231384926;7457
LSBI;8;1000;499;9,73E-04;62693;500029;0,002338692;62503
Random;16;1000;499;0,002887931;185;2604;0,0081831;162
LSFI;16;1000;499;0,004729439;15606;238942;2,218531954;14933
LSBI;16;1000;499;6,15E-04;140080;2111672;0,00286016;131979
Random;32;1000;499;0,001746518;375;9807;0,007041277;306
LSFI;32;1000;499;0,004729439;30652;935784;1,68381036;29243
LSBI;32;1000;499;6,15E-04;271341;8369869;0,002610803;261558
Random;4;5000;499;0,002022579;1516;6032;0,002753636;1508
LSFI;4;5000;499;0,006742958;32398;127161;0,407417672;31790
LSBI;4;5000;499;0,00103519;230349;919968;0,002902983;229992
Random;8;5000;499;0,002022579;453;3519;0,004292549;439
LSFI;8;5000;499;0,006742958;36574;288276;0,219686229;36034
LSBI;8;5000;499;5,08E-04;338004;2700985;0,001863819;337623
Random;16;5000;499;0,002022579;906;13499;0,006186851;843
LSFI;16;5000;499;0,006742958;91422;1392637;0,641300388;87039
LSBI;16;5000;499;4,53E-04;665860;10449942;0,001836623;653121
Random;32;5000;499;0,001235436;1766;50969;0,005051351;1592
LSFI;32;5000;499;0,002835212;209697;6601713;0,389619247;206303
LSBI;32;5000;499;4,53E-04;1332428;41967215;0,001591807;1311475
Random;4;10000;499;0,001816757;752;2993;0,002208847;748
LSFI;4;10000;499;0,508535878;74757;295450;2,735843274;73862
LSBI;4;10000;499;0,00103519;458661;1833613;0,002902983;458403
Random;8;10000;499;0,001816757;905;7006;0,003683808;875
LSFI;8;10000;499;0,009046538;107125;848586;1,612338272;106073
LSBI;8;10000;499;5,08E-04;662194;5288877;0,001863819;661109
Random;16;10000;499;0,001798061;1812;27449;0,005057538;1715
LSFI;16;10000;499;0,009046538;234687;3597840;0,936650551;224865
LSBI;16;10000;499;4,53E-04;1333492;20817469;0,001829536;1301091
Random;32;10000;499;0,001173406;3586;107246;0,004238769;3351
LSFI;32;10000;499;0,003809888;460589;14270723;1,883447983;445960
LSBI;32;10000;499;4,53E-04;2768556;87640184;0,00157796;2738755
Random;4;1000;999;0,001517151;208;802;0,00652414;200
LSFI;4;1000;999;0,003918412;12548;47543;0,016065234;11885
