Eval;Branches;Iterations;Parts;min MAE;real Time;sum Time;avg Mae;avg Time;
Random;4;1000;499;0,0028879309773646895;209;809;0,0038307698179455576;202;
LSFI;4;1000;499;0,012526092515624282;7270;28152;7,696234964542424;7038;
LSBI;4;1000;499;0,0017203574002113082;50892;203319;0,0034862075564505183;50829;
Random;8;1000;499;0,0028879309773646895;116;796;0,005880366261018012;99;
LSFI;8;1000;499;0,004729439453579613;23120;181349;4,231384925998913;22668;
LSBI;8;1000;499;9,731831604042594E-4;91665;731110;0,002338691522764498;91388;
Random;16;1000;499;0,0028879309773646895;221;3057;0,008183099518487356;191;
LSFI;16;1000;499;0,004729439453579613;28974;450207;2,218531953878919;28137;
LSBI;16;1000;499;6,149038808885824E-4;174911;2655552;0,0028601597807350063;165972;
Random;32;1000;499;0,0017465178500541468;383;10226;0,007041277331570831;319;
LSFI;32;1000;499;0,004729439453579613;50496;1451756;1,683810359688925;45367;
LSBI;32;1000;499;6,149038808885824E-4;311252;9723246;0,0026108029917106448;303851;
Random;4;5000;499;0,0020225792949157403;402;1604;0,0027536364647538824;401;
LSFI;4;5000;499;0,00674295819694981;46099;181921;0,4074176724192077;45480;
LSBI;4;5000;499;0,0010351903309960245;273136;1091405;0,002902983141340412;272851;
Random;8;5000;499;0,0020225792949157403;438;3473;0,004292549388189741;434;
LSFI;8;5000;499;0,00674295819694981;61436;485956;0,21968622861965065;60744;
LSBI;8;5000;499;5,078565539503766E-4;362099;2892208;0,0018638193794083798;361526;
Random;16;5000;499;0,0020225792949157403;902;13622;0,00618685094591217;851;
LSFI;16;5000;499;0,00674295819694981;123101;1916536;0,641300387602122;119783;
LSBI;16;5000;499;4,525027811806497E-4;873250;13635149;0,0018366225528885709;852196;
Random;32;5000;499;0,0012354358939772954;1997;58807;0,005051350710400784;1837;
LSFI;32;5000;499;0,0028352121902160453;271633;8577436;0,38961924700342987;268044;
